type,model1,model2,p_value
NGT,MLE,partial_pooling,0.7546182898360052
NGT,MLE,no_pooling,0.8791638994780233
NGT,partial_pooling,MLE,0.7546182898360052
NGT,partial_pooling,no_pooling,0.8748694497257505
NGT,no_pooling,MLE,0.8791638994780233
NGT,no_pooling,partial_pooling,0.8748694497257505
IGT,MLE,partial_pooling,0.8055783498137121
IGT,MLE,no_pooling,0.6734412764954789
IGT,partial_pooling,MLE,0.8055783498137121
IGT,partial_pooling,no_pooling,0.7851369518489721
IGT,no_pooling,MLE,0.6734412764954789
IGT,no_pooling,partial_pooling,0.7851369518489721
T2DM,MLE,partial_pooling,0.16935557034670723
T2DM,MLE,no_pooling,0.01527372696028319
T2DM,partial_pooling,MLE,0.16935557034670723
T2DM,partial_pooling,no_pooling,0.4408432570861244
T2DM,no_pooling,MLE,0.01527372696028319
T2DM,no_pooling,partial_pooling,0.4408432570861244
