Dataset,Subject_Type,Model1,Model2,Mean_MSE1,Mean_MSE2,Mean_Difference,T_Statistic,P_Value,Significant
ohashi_rich,All,MLE,Partial_Pooling,0.2122969251127044,0.24647098271420087,-0.03417405760149647,-0.8029062242142027,0.4276062222012831,false
ohashi_rich,All,MLE,No_Pooling,0.2122969251127044,0.3079041189568813,-0.09560719384417686,-1.932885428623315,0.06161421645439855,false
ohashi_rich,All,Partial_Pooling,No_Pooling,0.24647098271420087,0.3079041189568813,-0.061433136242680396,-2.2756001047197785,0.029290517671013625,true
ohashi_rich,T2DM,MLE,Partial_Pooling,0.09130059428464403,0.24187077283312156,-0.1505701785484775,-2.5415466163212415,0.023499387930579593,true
ohashi_rich,T2DM,MLE,No_Pooling,0.09130059428464403,0.363383987234391,-0.272083392949747,-3.8293398819582247,0.0018410519645363369,true
ohashi_rich,T2DM,Partial_Pooling,No_Pooling,0.24187077283312156,0.363383987234391,-0.12151321440126947,-2.7992717208154194,0.014200662756192788,true
ohashi_rich,NGT,MLE,Partial_Pooling,0.3329857771586476,0.23679659300124264,0.09618918415740486,1.5546553028958638,0.1423383606430263,false
ohashi_rich,NGT,MLE,No_Pooling,0.3329857771586476,0.2820068020423702,0.050978975116277254,0.7668702042864453,0.45589681083671674,false
ohashi_rich,NGT,Partial_Pooling,No_Pooling,0.23679659300124264,0.2820068020423702,-0.045210209041127596,-1.2163297573700178,0.2439695320148912,false
ohashi_rich,IGT,MLE,Partial_Pooling,0.21321936145905607,0.2892947814963134,-0.07607542003725731,-0.884562858285749,0.42635985257388476,false
ohashi_rich,IGT,MLE,No_Pooling,0.21321936145905607,0.21915646486788504,-0.00593710340882896,-0.0867729798926302,0.9350221514430191,false
ohashi_rich,IGT,Partial_Pooling,No_Pooling,0.2892947814963134,0.21915646486788504,0.07013831662842836,1.6351580977583713,0.17735563106910088,false
ohashi_low,All,MLE,Partial_Pooling,0.6482375201100179,0.819919853989643,-0.17168233387962495,-0.3809025305273553,0.7082856233191124,false
ohashi_low,All,MLE,No_Pooling,0.6482375201100179,0.7623462655063561,-0.11410874539633817,-0.2626833330083085,0.7961470367283652,false
ohashi_low,All,Partial_Pooling,No_Pooling,0.819919853989643,0.7623462655063561,0.057573588483286774,1.4301358093421044,0.17191600402604876,false
ohashi_low,T2DM,MLE,Partial_Pooling,0.6969478149907611,0.46402867652228663,0.23291913846847434,0.4080949649703844,0.6953977767121489,false
ohashi_low,T2DM,MLE,No_Pooling,0.6969478149907611,0.4041489674722539,0.29279884751850704,0.5251006177008157,0.6157286988777719,false
ohashi_low,T2DM,Partial_Pooling,No_Pooling,0.46402867652228663,0.4041489674722539,0.059879709050032745,0.8232554989015632,0.4375067788744883,false
ohashi_low,NGT,MLE,Partial_Pooling,0.5620936764265917,0.4217996093999653,0.1402940670266264,0.29784875560923707,0.7758628904273567,false
ohashi_low,NGT,MLE,No_Pooling,0.5620936764265917,0.4156871238307619,0.14640655259582974,0.31436679219580804,0.76388654467333,false
ohashi_low,NGT,Partial_Pooling,No_Pooling,0.4217996093999653,0.4156871238307619,0.00611248556920335,0.18060198103468933,0.8626257933254443,false
ohashi_low,IGT,MLE,Partial_Pooling,0.7548997934790374,3.636905419922939,-2.8820056264439016,-1.2280775130987958,0.43505851670331147,false
ohashi_low,IGT,MLE,No_Pooling,0.7548997934790374,3.408442453507344,-2.653542660028307,-1.1803366122726155,0.4474644761433577,false
ohashi_low,IGT,Partial_Pooling,No_Pooling,3.636905419922939,3.408442453507344,0.22846296641559488,2.3161681764911664,0.25946839141431216,false
Cross_Dataset,All,MLE (full),MLE (low),0.2122969251127044,0.6482375201100179,-0.4359405949973135,-1.4913129789717703,0.1546065489929116,false
Cross_Dataset,All,partial_pooling (full),partial_pooling (low),0.24647098271420087,0.819919853989643,-0.5734488712754421,-1.5899305903649013,0.13103892143287585,false
Cross_Dataset,All,no_pooling (full),no_pooling (low),0.3079041189568813,0.7623462655063561,-0.4544421465494748,-1.3380065683153666,0.19923543000989966,false
