Complexity,Loss,Equation
1,0.08819646,"0.48391783"
3,0.060537733,"0.04156448 * x1"
5,0.040614568,"(0.015590325 * x1) * x0"
7,0.010484401,"((x1 * x0) ^ 0.48178092) * 0.1191344"
8,0.009199541,"neg((0.96498764 ^ x0) ^ x1) + 1.0116416"
9,0.008328897,"(((0.9560378 ^ x0) ^ x1) + -1.019666) * -0.8851004"
10,0.007235023,"neg(((0.8543849 + x0) ^ -0.07007518) ^ x1) + 1.0317631"
11,0.0027164384,"(inv((x1 * inv(x0)) + x0) * 0.435072) * x1"
12,0.0026962243,"inv(inv(x0) + (x0 * inv(x1 + -0.0321247))) * 0.43565193"
13,0.002509479,"(0.45446518 * (inv((inv(x0) * x1) + x0) * x1)) + -0.029017052"
14,0.0017836356,"inv(inv(0.052377615 * (((x1 + 2.7335348) * inv(x0)) ^ x0)) + 1.1371895)"
15,0.0014587672,"inv(inv((((x1 + 1.9721082) * (0.7108104 ^ x0)) ^ x0) * 0.0738299) + 1.1666162)"
16,0.0013640901,"-0.068140306 + inv(inv((((x1 + 2.829089) * inv(x0)) ^ x0) * 0.068914056) + 1.0712264)"
17,0.0012518823,"-0.051798612 + inv(1.1049038 + inv((((0.7011375 ^ x0) * (2.3795216 + x1)) ^ x0) * 0.08989884))"
18,0.0010111944,"inv(1.1361738 + inv(0.09461319 * (x0 * (((0.93869114 + (x1 ^ 0.81196874)) * inv(x0)) ^ x0))))"
19,0.000808484,"inv(inv(((((x1 + 0.00047090836) * (0.66594726 ^ x0)) ^ 0.63446814) ^ x0) * (0.19835332 * x0)) + 1.1356584)"
20,0.0007783263,"inv(inv(0.19918941 * (((((x1 + 0.00047090836) * (0.6650788 ^ x0)) ^ 0.612384) ^ x0) * x0)) + inv(0.8949982))"
